id,user_id,order_date,status
1,1,2024-01-01,completed
2,3,2024-01-02,completed
3,1,2024-01-04,completed
4,2,2024-01-05,returned
5,3,2024-01-06,completed
6,5,2024-01-07,completed
7,8,2024-01-08,completed
8,9,2024-01-09,completed
9,3,2024-01-10,completed
10,1,2024-01-11,completed
11,5,2024-01-12,returned
12,2,2024-01-13,completed
13,4,2024-01-14,completed
14,1,2024-01-15,completed
15,5,2024-01-16,completed
16,7,2024-01-17,completed
17,3,2024-01-18,completed
18,10,2024-01-19,completed
19,12,2024-01-20,completed
20,8,2024-01-21,completed
21,1,2024-01-22,completed
22,5,2024-01-23,completed
23,3,2024-01-24,returned
24,9,2024-01-25,completed
25,2,2024-01-26,completed
