id,order_id,payment_method,amount
1,1,credit_card,100.00
2,2,credit_card,150.00
3,3,credit_card,200.00
4,4,bank_transfer,250.00
5,5,credit_card,75.00
6,6,coupon,50.00
7,7,credit_card,125.00
8,8,credit_card,175.00
9,9,bank_transfer,225.00
10,10,credit_card,90.00
11,11,credit_card,110.00
12,12,credit_card,130.00
13,13,bank_transfer,180.00
14,14,credit_card,95.00
15,15,coupon,40.00
16,16,credit_card,140.00
17,17,credit_card,160.00
18,18,bank_transfer,210.00
19,19,credit_card,85.00
20,20,credit_card,105.00
21,21,credit_card,120.00
22,22,credit_card,155.00
23,23,bank_transfer,190.00
24,24,credit_card,80.00
25,25,coupon,35.00
