date,region,product,sales,units
2026-01-01,North,Widget A,1250.50,15
2026-01-01,South,Widget B,890.25,12
2026-01-01,East,Widget A,1520.75,18
2026-01-01,West,Widget C,750.00,10
2026-01-02,North,Widget B,1100.00,14
2026-01-02,South,Widget A,1350.25,16
2026-01-02,East,Widget C,920.50,11
2026-01-02,West,Widget A,1680.75,20
2026-01-03,North,Widget C,850.00,10
2026-01-03,South,Widget B,1050.50,13
2026-01-03,East,Widget A,1420.25,17
2026-01-03,West,Widget B,1200.00,15
2026-01-04,North,Widget A,1380.50,16
2026-01-04,South,Widget C,780.75,9
2026-01-04,East,Widget B,1150.00,14
2026-01-04,West,Widget A,1750.25,21
2026-01-05,North,Widget B,1220.00,15
2026-01-05,South,Widget A,1480.50,18
2026-01-05,East,Widget C,890.25,11
2026-01-05,West,Widget B,1320.75,16
2026-01-06,North,Widget C,920.50,11
2026-01-06,South,Widget A,1580.75,19
2026-01-06,East,Widget B,1280.00,16
2026-01-06,West,Widget C,850.25,10
2026-01-07,North,Widget A,1450.25,17
2026-01-07,South,Widget B,1180.50,14
2026-01-07,East,Widget C,780.00,9
2026-01-07,West,Widget A,1820.75,22
2026-01-08,North,Widget B,1320.00,16
2026-01-08,South,Widget C,920.25,11
2026-01-08,East,Widget A,1680.50,20
2026-01-08,West,Widget B,1450.00,18
2026-01-09,North,Widget C,1050.75,13
2026-01-09,South,Widget A,1720.25,21
2026-01-09,East,Widget B,1380.50,17
2026-01-09,West,Widget C,980.00,12
2026-01-10,North,Widget A,1580.50,19
2026-01-10,South,Widget B,1280.75,16
2026-01-10,East,Widget C,850.25,10
2026-01-10,West,Widget A,1920.00,23
