date,revenue,cost,profit,region
2024-01-01,12500,8200,4300,North
2024-01-02,13200,8500,4700,North
2024-01-03,11800,7900,3900,North
2024-01-04,14100,9200,4900,North
2024-01-05,13900,9000,4900,North
2024-01-06,12200,8100,4100,North
2024-01-07,11500,7600,3900,North
2024-01-08,15200,9800,5400,North
2024-01-09,14800,9600,5200,North
2024-01-10,13500,8800,4700,North
2024-01-11,14200,9300,4900,North
2024-01-12,13800,9100,4700,North
2024-01-13,12900,8400,4500,North
2024-01-14,11800,7800,4000,North
2024-01-15,16500,10500,6000,North
2024-01-16,15800,10200,5600,North
2024-01-17,14500,9400,5100,North
2024-01-18,15100,9900,5200,North
2024-01-19,14800,9700,5100,North
2024-01-20,13200,8600,4600,North
2024-01-21,12800,8400,4400,North
2024-01-22,17200,11000,6200,North
2024-01-23,16800,10800,6000,North
2024-01-24,15900,10300,5600,North
2024-01-25,16200,10500,5700,North
2024-01-26,15600,10100,5500,North
2024-01-27,14100,9200,4900,North
2024-01-28,13500,8800,4700,North
2024-01-29,18100,11600,6500,North
2024-01-30,17500,11200,6300,North
2024-01-31,16300,10600,5700,North
2024-02-01,16800,10900,5900,South
2024-02-02,17200,11100,6100,South
2024-02-03,15900,10300,5600,South
2024-02-04,16500,10700,5800,South
2024-02-05,16100,10400,5700,South
2024-02-06,14800,9600,5200,South
2024-02-07,14200,9200,5000,South
2024-02-08,18600,12000,6600,South
2024-02-09,18200,11800,6400,South
2024-02-10,17100,11100,6000,South
2024-02-11,17600,11400,6200,South
2024-02-12,17200,11200,6000,South
2024-02-13,16100,10500,5600,South
2024-02-14,15300,9900,5400,South
2024-02-15,19800,12800,7000,South
2024-02-16,19200,12400,6800,South
2024-02-17,18100,11700,6400,South
2024-02-18,18700,12100,6600,South
2024-02-19,18300,11900,6400,South
2024-02-20,16700,10800,5900,South
2024-02-21,16100,10400,5700,South
2024-02-22,20500,13200,7300,South
2024-02-23,20000,12900,7100,South
2024-02-24,19100,12300,6800,South
2024-02-25,19600,12700,6900,South
2024-02-26,19000,12300,6700,South
2024-02-27,17500,11300,6200,South
2024-02-28,16900,10900,6000,South
2024-02-29,21200,13700,7500,South
