date,origin,destination,flights,passengers,delay_minutes
2026-01-01,JFK,LAX,12,1450,15
2026-01-01,LAX,JFK,10,1220,8
2026-01-01,ORD,SFO,8,950,22
2026-01-01,SFO,ORD,9,1080,12
2026-01-02,JFK,LAX,11,1380,10
2026-01-02,LAX,JFK,12,1520,18
2026-01-02,ORD,SFO,10,1180,5
2026-01-02,SFO,ORD,8,920,25
2026-01-03,JFK,LAX,13,1580,20
2026-01-03,LAX,JFK,11,1350,12
2026-01-03,ORD,SFO,9,1050,8
2026-01-03,SFO,ORD,10,1220,15
2026-01-04,JFK,LAX,10,1280,5
2026-01-04,LAX,JFK,13,1620,22
2026-01-04,ORD,SFO,11,1320,18
2026-01-04,SFO,ORD,9,1050,10
2026-01-05,JFK,LAX,12,1520,12
2026-01-05,LAX,JFK,10,1250,8
2026-01-05,ORD,SFO,8,980,28
2026-01-05,SFO,ORD,11,1380,15
2026-01-06,JFK,LAX,11,1420,18
2026-01-06,LAX,JFK,12,1480,10
2026-01-06,ORD,SFO,10,1150,12
2026-01-06,SFO,ORD,9,1080,20
2026-01-07,JFK,LAX,13,1650,25
2026-01-07,LAX,JFK,11,1380,15
2026-01-07,ORD,SFO,9,1020,8
2026-01-07,SFO,ORD,10,1250,18
2026-01-08,JFK,LAX,12,1550,12
2026-01-08,LAX,JFK,10,1320,5
2026-01-08,ORD,SFO,11,1280,20
2026-01-08,SFO,ORD,8,950,30
2026-01-09,JFK,LAX,11,1450,15
2026-01-09,LAX,JFK,13,1620,22
2026-01-09,ORD,SFO,10,1180,10
2026-01-09,SFO,ORD,9,1120,18
2026-01-10,JFK,LAX,12,1580,18
2026-01-10,LAX,JFK,11,1420,12
2026-01-10,ORD,SFO,9,1050,5
2026-01-10,SFO,ORD,10,1280,25
