date,source,conversions,revenue,cost
2026-09-01,organic,45,2250.00,120.00
2026-09-01,paid_search,28,1820.00,450.00
2026-09-01,social,18,950.00,200.00
2026-09-01,email,32,1680.00,80.00
2026-09-02,organic,52,2680.00,125.00
2026-09-02,paid_search,31,2015.00,480.00
2026-09-02,social,22,1150.00,220.00
2026-09-02,email,38,1980.00,85.00
2026-09-03,organic,42,2150.00,118.00
2026-09-03,paid_search,25,1650.00,420.00
2026-09-03,social,16,840.00,190.00
2026-09-03,email,29,1520.00,75.00
2026-09-04,organic,58,2980.00,130.00
2026-09-04,paid_search,35,2285.00,520.00
2026-09-04,social,25,1320.00,240.00
2026-09-04,email,42,2190.00,90.00
2026-09-05,organic,62,3180.00,135.00
2026-09-05,paid_search,38,2470.00,540.00
2026-09-05,social,28,1480.00,250.00
2026-09-05,email,45,2350.00,95.00
2026-09-06,organic,38,1950.00,115.00
2026-09-06,paid_search,22,1430.00,400.00
2026-09-06,social,14,735.00,180.00
2026-09-06,email,28,1460.00,70.00
2026-09-07,organic,35,1795.00,110.00
2026-09-07,paid_search,20,1300.00,380.00
2026-09-07,social,12,630.00,170.00
2026-09-07,email,25,1310.00,65.00
