date,page,views,sessions,bounce_rate,avg_duration
2026-09-01,/home,1250,980,0.35,145
2026-09-01,/products,890,720,0.42,180
2026-09-01,/about,320,280,0.48,95
2026-09-01,/contact,180,160,0.38,75
2026-09-02,/home,1320,1050,0.33,150
2026-09-02,/products,920,750,0.40,185
2026-09-02,/about,340,295,0.45,98
2026-09-02,/contact,195,175,0.36,78
2026-09-03,/home,1180,940,0.37,142
2026-09-03,/products,850,690,0.44,175
2026-09-03,/about,305,265,0.50,92
2026-09-03,/contact,170,155,0.40,72
2026-09-04,/home,1420,1120,0.32,155
2026-09-04,/products,980,810,0.38,190
2026-09-04,/about,360,315,0.42,102
2026-09-04,/contact,210,190,0.35,82
2026-09-05,/home,1520,1210,0.30,158
2026-09-05,/products,1050,870,0.36,195
2026-09-05,/about,380,335,0.40,105
2026-09-05,/contact,225,205,0.33,85
2026-09-06,/home,1080,860,0.38,138
2026-09-06,/products,780,640,0.46,170
2026-09-06,/about,290,255,0.52,88
2026-09-06,/contact,160,145,0.42,70
2026-09-07,/home,950,755,0.40,132
2026-09-07,/products,720,590,0.48,165
2026-09-07,/about,270,240,0.54,85
2026-09-07,/contact,150,135,0.44,68
